observation_time,wind_direction,wind_speed,predominant_horizontal_visibility,precipitation,present_fog,cloud_nebulosity,cloud_altitude,air_temperature,dew_point,air_pressure
2022-01-01 00:30:00,130,2,1000,0,0,3,14,4,4,1018
2022-01-01 01:30:00,60,2,400,0,0,0,0,4,4,1018
2022-01-01 02:30:00,42,2,800,0,0,3,21,4,4,1017
2022-01-01 03:30:00,277,1,1500,0,0,3,19,4,4,1017
2022-01-01 04:30:00,260,3,1800,0,0,2,13,4,4,1017
2022-01-01 05:30:00,90,2,1800,0,0,3,19,5,4,1017
2022-01-01 06:30:00,90,3,2000,0,0,3,21,4,4,1018
2022-01-01 07:30:00,290,3,3000,0,0,2,37,5,5,1018
2022-01-01 08:30:00,283,2,5000,0,0,2,35,5,5,1019
2022-01-01 09:30:00,276,2,5000,0,0,3,30,7,6,1019
2022-01-01 10:30:00,270,8,9999,0,0,3,33,11,8,1019
2022-01-01 11:30:00,280,9,9999,0,0,3,26,11,7,1019
2022-01-01 12:30:00,290,9,9999,0,0,2,33,11,7,1019
2022-01-01 13:30:00,290,7,9999,0,0,3,25,11,7,1019
2022-01-01 14:30:00,290,11,9999,0,0,1,27,11,7,1020
2022-01-01 15:30:00,290,7,9999,0,0,1,46,10,7,1020
2022-01-01 16:30:00,280,6,9999,0,0,3,42,10,7,1021
2022-01-01 17:30:00,270,6,9999,0,0,1,54,9,7,1021
2022-01-01 18:30:00,310,6,9999,0,0,2,65,9,6,1021
2022-01-01 19:30:00,290,10,9999,0,0,2,50,9,7,1022
2022-01-01 20:30:00,280,9,9999,0,0,1,25,9,7,1022
2022-01-01 21:30:00,300,9,9999,0,0,3,31,10,7,1022
2022-01-01 22:30:00,290,10,9999,0,0,3,25,10,7,1023
2022-01-01 23:30:00,310,10,9999,0,0,3,30,10,7,1023
2022-01-02 00:30:00,310,7,9999,0,0,3,23,10,7,1023
2022-01-02 01:30:00,310,9,9999,0,0,4,21,10,7,1023
2022-01-02 02:30:00,280,12,9999,0,0,2,19,9,7,1023
2022-01-02 03:30:00,300,7,9999,0,0,1,44,8,6,1024
2022-01-02 04:30:00,270,8,9999,0,0,0,0,7,5,1024
2022-01-02 05:30:00,260,5,9999,0,0,0,0,5,4,1024
2022-01-02 06:30:00,280,5,9999,0,0,0,0,5,4,1024
2022-01-02 07:30:00,198,3,9999,0,0,0,0,7,5,1024
2022-01-02 08:30:00,100,5,9999,0,0,0,0,7,6,1025
2022-01-02 09:30:00,60,4,9999,0,0,2,47,9,6,1024
2022-01-02 10:30:00,60,6,9999,0,0,2,38,9,7,1024
2022-01-02 11:30:00,60,6,9999,0,0,3,49,9,7,1023
2022-01-02 12:30:00,60,8,9999,0,0,1,48,10,7,1022
2022-01-02 13:30:00,80,7,9999,0,0,0,0,10,6,1022
2022-01-02 14:30:00,80,8,9999,0,0,0,0,9,6,1021
2022-01-02 15:30:00,30,5,9999,0,0,0,0,7,5,1021
2022-01-02 16:30:00,60,3,9999,0,0,0,0,5,4,1021
2022-01-02 17:30:00,140,3,9999,0,0,1,10,5,4,1020
2022-01-02 18:30:00,360,3,800,0,0,2,10,5,4,1019
2022-01-02 19:30:00,160,3,1200,0,0,2,7,3,3,1019
2022-01-02 20:30:00,270,3,2000,0,0,4,6,5,4,1019
2022-01-02 21:30:00,240,1,3500,0,0,4,4,5,4,1018
2022-01-02 22:30:00,169,2,1500,0,0,4,2,5,5,1018
2022-01-02 23:30:00,140,3,350,0,0,0,0,5,5,1017
2022-01-03 00:30:00,60,4,3000,0,0,4,2,5,5,1016
2022-01-03 01:30:00,110,3,3000,0,0,4,2,5,5,1016
2022-01-03 02:30:00,55,2,5000,0,0,4,3,5,4,1015
2022-01-03 03:30:00,0,0,4000,0,0,4,2,4,4,1014
2022-01-03 04:30:00,60,3,1500,0,0,4,1,4,4,1014
2022-01-03 05:30:00,20,3,1800,0,0,4,2,3,3,1014
2022-01-03 06:30:00,260,3,800,0,0,0,0,3,3,1013
2022-01-03 07:30:00,283,2,500,0,0,0,0,4,3,1013
2022-01-03 08:30:00,26,2,1000,0,0,4,2,4,4,1013
