       Train Prediction  Actual Value
0             23.685431            22
1             21.366880            19
2             18.284941            19
3             18.100439            17
4             16.337389            17
5             16.382996            16
6             15.537751            15
7             14.589126            15
8             14.514873            15
9             14.655015            15
10            14.859855            14
11            13.856982            14
12            13.665871            13
13            12.664499            13
14            12.584457            12
15            11.650314            13
16            12.641424            13
17            12.993608            12
18            11.978479            10
19             9.672108            10
20             9.237790            10
21             9.423798            10
22             9.734920             9
23             8.825631             9
24             8.643158             9
25             8.705326            10
26             9.926962            11
27            11.358378            13
28            13.716405            15
29            16.048183            17
30            18.230024            18
31            19.239239            19
32            20.021563            20
33            20.807806            22
34            22.795246            23
35            23.833143            24
36            24.730234            24
37            24.408440            24
38            24.117752            26
39            26.150597            26
40            26.148924            26
41            26.066650            26
42            25.887455            25
43            24.635624            26
44            25.774916            26
45            25.827662            25
46            24.724222            25
47            24.686533            23
48            22.379217            22
49            21.287027            19
50            18.273680            17
51            16.320747            18
52            17.102695            17
53            16.539070            16
54            15.736647            15
55            14.579410            15
56            14.463728            16
57            15.745329            15
58            15.018196            15
59            14.883314            15
60            14.793413            14
61            13.800715            14
62            13.665871            14
63            13.716386            13
64            12.781307            13
65            12.658083            13
66            12.711233            12
67            11.775450            13
68            12.727019            12
69            11.888535            12
70            11.777165            12
71            11.783130            12
72            11.839874            12
73            11.924605            12
74            11.924605            13
75            13.040117            15
76            15.532280            16
77            16.952675            17
78            17.962593            18
79            18.824995            20
80            20.849552            21
81            21.952673            23
82            23.942581            24
83            24.819313            24
84            24.531296            25
85            25.306633            25
86            25.094889            25
87            24.991833            25
88            24.893738            23
89            22.517317            22
90            21.333679            21
91            20.253523            20
92            19.315674            21
93            20.570871            21
94            20.840670            21
95            21.023405            20
96            19.820513            19
97            18.599361            19
98            18.528282            17
99            16.596840            17
100           16.476952            17
101           16.559410            17
102           16.802216            16
103           15.864685            16
104           15.702248            16
105           15.730188            15
106           14.810559            15
107           14.685224            15
108           14.718015            15
109           14.859855            15
110           14.939785            15
111           14.939785            14
112           13.856982            14
113           13.665871            13
114           12.664499            13
115           12.584457            13
116           12.711233            12
117           11.775450            12
